,seller_link,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Product11,Product12,Product13,Product14,Product15,Product16,Product17
0,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A030453026PKIBMELYSB8,https://www.amazon.de/dp/B000PTMD9C,,,,,,,,,,,,,,,,
1,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A0849746HSTND56N4046,https://www.amazon.de/dp/B009ODV0OE,https://www.amazon.de/dp/B00IKIEBW2,,,,,,,,,,,,,,,
2,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A121Y7O476HJ6P,https://www.amazon.de/dp/B00IKIEBW2,https://www.amazon.de/dp/B0046041C8,,,,,,,,,,,,,,,
3,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12DAJBJH5L0SD,https://www.amazon.de/dp/B0001P19PY,,,,,,,,,,,,,,,,
4,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12G667HJIM4YW,https://www.amazon.de/dp/B0001P151W,,,,,,,,,,,,,,,,
5,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12HFGQZYUN0PX,https://www.amazon.de/dp/B000PTMD9C,,,,,,,,,,,,,,,,
6,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12HPIX0S65CGW,https://www.amazon.de/dp/B004BA7634,https://www.amazon.de/dp/B0002TTRQW,,,,,,,,,,,,,,,
7,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12UOV92JEZTET,https://www.amazon.de/dp/B081DKSKXX,,,,,,,,,,,,,,,,
8,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1303XBY5WDEJN,https://www.amazon.de/dp/B0009W86H8,https://www.amazon.de/dp/B00141BMJC,https://www.amazon.de/dp/B00315R7OS,https://www.amazon.de/dp/B00IKIEBW2,https://www.amazon.de/dp/B01NBW2J0I,https://www.amazon.de/dp/B00FAMADXW,https://www.amazon.de/dp/B0046041C8,,,,,,,,,,
9,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A133RA3ZUAU4I7,https://www.amazon.de/dp/B00WJZNH1I,https://www.amazon.de/dp/B01FE8M0LO,https://www.amazon.de/dp/B084SN9HQV,https://www.amazon.de/dp/B004BA7634,https://www.amazon.de/dp/B00TTZU566,https://www.amazon.de/dp/B003CSNV2Q,https://www.amazon.de/dp/B008HRFFJE,https://www.amazon.de/dp/B00315R7OS,https://www.amazon.de/dp/B00IKIEBW2,https://www.amazon.de/dp/B0002TTRQW,https://www.amazon.de/dp/B01M361H2B,https://www.amazon.de/dp/B00426KPJO,https://www.amazon.de/dp/B0001E3QG0,https://www.amazon.de/dp/B0001E3VFG,https://www.amazon.de/dp/B00FAMADXW,https://www.amazon.de/dp/B0001E3W7S,https://www.amazon.de/dp/B0001E3U16
10,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A13BI80AJ9KGA,https://www.amazon.de/dp/B084SN9HQV,,,,,,,,,,,,,,,,
11,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A13LFQMQFOBSOQ,https://www.amazon.de/dp/B01KYTRT7S,,,,,,,,,,,,,,,,
12,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A141IR4ON8TSFX,https://www.amazon.de/dp/B07HCQM1WK,,,,,,,,,,,,,,,,
13,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A14WBIL3706WX0,https://www.amazon.de/dp/B0001P151W,,,,,,,,,,,,,,,,
14,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1569YM70P7ACN,https://www.amazon.de/dp/B00TTZU566,https://www.amazon.de/dp/B009ODV0OE,https://www.amazon.de/dp/B005M2WJDW,https://www.amazon.de/dp/B003TKSHJY,,,,,,,,,,,,,
15,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A15LFDUEFND3B5,https://www.amazon.de/dp/B01FE8M0LO,https://www.amazon.de/dp/B009ODV0OE,https://www.amazon.de/dp/B01M361H2B,https://www.amazon.de/dp/B000GQ5ADK,https://www.amazon.de/dp/B0001E3U16,,,,,,,,,,,,
16,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A15U54FHOSOXI9,https://www.amazon.de/dp/B0046041C8,,,,,,,,,,,,,,,,
17,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A16ZYXKEW02ZX1,https://www.amazon.de/dp/B084SN9HQV,https://www.amazon.de/dp/B009ODV0OE,https://www.amazon.de/dp/B00FAMADXW,,,,,,,,,,,,,,
18,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A17BBL49GIPNRU,https://www.amazon.de/dp/B084SN9HQV,,,,,,,,,,,,,,,,
19,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A17G37DSPB67CO,https://www.amazon.de/dp/B07HCQM1WK,,,,,,,,,,,,,,,,
20,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A17M7GDCT5DFF4,https://www.amazon.de/dp/B003CSNV2Q,https://www.amazon.de/dp/B009ODV0OE,https://www.amazon.de/dp/B00141BMJC,https://www.amazon.de/dp/B00426KPJO,,,,,,,,,,,,,
21,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A17YPOST3QMHG2,https://www.amazon.de/dp/B0009W86E6,,,,,,,,,,,,,,,,
22,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1807R5UXS9MBW,https://www.amazon.de/dp/B01KYTRT7S,,,,,,,,,,,,,,,,
23,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A18ZEH8ABBMCX5,https://www.amazon.de/dp/B004BA7634,https://www.amazon.de/dp/B01LXFXMQN,,,,,,,,,,,,,,,
24,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A198GE1LAYMJ4V,https://www.amazon.de/dp/B0009W86E6,,,,,,,,,,,,,,,,
25,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A19D0A49PTV6VM,https://www.amazon.de/dp/B073TZ5BBG,https://www.amazon.de/dp/B073S69SQ1,,,,,,,,,,,,,,,
26,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1AT1RYM82H450,https://www.amazon.de/dp/B0001E3VFG,https://www.amazon.de/dp/B001JAGY3W,https://www.amazon.de/dp/B0001E3U16,,,,,,,,,,,,,,
27,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1B8PUP5EGIDXK,https://www.amazon.de/dp/B001IX673M,,,,,,,,,,,,,,,,
28,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1DC5C8THIP50B,https://www.amazon.de/dp/B01FE8M0LO,https://www.amazon.de/dp/B01LXFXMQN,,,,,,,,,,,,,,,
29,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1DD9BYUAAY3BD,https://www.amazon.de/dp/B0752GDWK6,,,,,,,,,,,,,,,,
30,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1DQ8M6ESP5H5I,https://www.amazon.de/dp/B0002YYYFQ,,,,,,,,,,,,,,,,
31,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1EONLJPN7PXNW,https://www.amazon.de/dp/B00EV0D9C6,https://www.amazon.de/dp/B00IKIEBW2,https://www.amazon.de/dp/B0046041C8,,,,,,,,,,,,,,
32,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1F7OJY9GM4NCS,https://www.amazon.de/dp/B005M2WJDW,,,,,,,,,,,,,,,,
33,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1H8L6UUKVAN7G,https://www.amazon.de/dp/B084SN9HQV,,,,,,,,,,,,,,,,
34,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1HGMGYB1DCDU3,https://www.amazon.de/dp/B00LPHUTOO,https://www.amazon.de/dp/B01FE8M0LO,https://www.amazon.de/dp/B00TTZU566,https://www.amazon.de/dp/B077ZJXCY1,https://www.amazon.de/dp/B07HCQM1WK,,,,,,,,,,,,
35,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1I39CG3SC82JN,https://www.amazon.de/dp/B0009W86E6,,,,,,,,,,,,,,,,
36,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1IFADH6IWHNPH,https://www.amazon.de/dp/B073S69SQ1,,,,,,,,,,,,,,,,
37,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1JF3E6D9PQ9UU,https://www.amazon.de/dp/B0001P151W,,,,,,,,,,,,,,,,
38,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1KTLNBZL6PXW,https://www.amazon.de/dp/B00IKIEBW2,,,,,,,,,,,,,,,,
39,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1M93V9QVID23I,https://www.amazon.de/dp/B00KAUIOTE,,,,,,,,,,,,,,,,
40,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1MOIP8FPDRRJH,https://www.amazon.de/dp/B0001P19PY,,,,,,,,,,,,,,,,
41,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1N8Q2T69LNTPE,https://www.amazon.de/dp/B004WCHM5I,,,,,,,,,,,,,,,,
42,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1O0H08K2DYVHX,https://www.amazon.de/dp/B004BA7634,https://www.amazon.de/dp/B0002TTRT4,,,,,,,,,,,,,,,
43,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1O701HERTBBAG,https://www.amazon.de/dp/B00426KPJO,,,,,,,,,,,,,,,,
44,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1QSC1IO282MKJ,https://www.amazon.de/dp/B009ODV0OE,https://www.amazon.de/dp/B003TKSHJY,https://www.amazon.de/dp/B0002YYYFQ,,,,,,,,,,,,,,
45,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1R406PE79OI9F,https://www.amazon.de/dp/B00WJZNH1I,https://www.amazon.de/dp/B004BA7634,,,,,,,,,,,,,,,
46,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1RIMEITFEK818,https://www.amazon.de/dp/B077ZJXCY1,https://www.amazon.de/dp/B07HCQM1WK,https://www.amazon.de/dp/B004WCHM5I,,,,,,,,,,,,,,
47,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1RSJOZFBXWCNA,https://www.amazon.de/dp/B0001P151W,,,,,,,,,,,,,,,,
48,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1RWP6NDNDXWJY,https://www.amazon.de/dp/B009ODV0OE,https://www.amazon.de/dp/B00IKIEBW2,https://www.amazon.de/dp/B00426KPJO,https://www.amazon.de/dp/B0046041C8,,,,,,,,,,,,,
49,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1SCAWLZM39QD8,https://www.amazon.de/dp/B06XKZYYHZ,,,,,,,,,,,,,,,,
50,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1SERP7EE1RQFP,https://www.amazon.de/dp/B00725C8WO,https://www.amazon.de/dp/B00L2IMXQS,,,,,,,,,,,,,,,
51,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1SMKQB89EY4W,https://www.amazon.de/dp/B00EV0D9C6,https://www.amazon.de/dp/B005M2WJDW,https://www.amazon.de/dp/B00IKIEBW2,https://www.amazon.de/dp/B077ZJXCY1,https://www.amazon.de/dp/B01LXFXMQN,https://www.amazon.de/dp/B0001E3QG0,https://www.amazon.de/dp/B0009W86E6,https://www.amazon.de/dp/B0046041C8,,,,,,,,,
52,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1TRG24O579ECR,https://www.amazon.de/dp/B00FAMADXW,https://www.amazon.de/dp/B0046041C8,,,,,,,,,,,,,,,
53,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1U3RSI77LGPES,https://www.amazon.de/dp/B00TTZU566,,,,,,,,,,,,,,,,
54,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1U55MBQ4TK8UG,https://www.amazon.de/dp/B00IKIEBW2,,,,,,,,,,,,,,,,
55,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1VGFUJY04H1Y1,https://www.amazon.de/dp/B083TBM7JC,,,,,,,,,,,,,,,,
56,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1VIO9SYISNDML,https://www.amazon.de/dp/B005M2WJDW,,,,,,,,,,,,,,,,
57,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1WNMCD030C4IG,https://www.amazon.de/dp/B07VW7WYQW,,,,,,,,,,,,,,,,
58,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1X0M9U5WW1195,https://www.amazon.de/dp/B084SN9HQV,,,,,,,,,,,,,,,,
59,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1XB1EOCJJS9WM,https://www.amazon.de/dp/B079V335CR,,,,,,,,,,,,,,,,
60,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1XCF8DLK3OC2Y,https://www.amazon.de/dp/B00TTZU566,,,,,,,,,,,,,,,,
61,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1XR9C6G2X9899,https://www.amazon.de/dp/B08BS33Y2D,https://www.amazon.de/dp/B0001E3W7S,https://www.amazon.de/dp/B000B9RK9O,,,,,,,,,,,,,,
62,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1YA2MW4PC4EAT,https://www.amazon.de/dp/B01FE8M0LO,https://www.amazon.de/dp/B01M361H2B,https://www.amazon.de/dp/B001JAGY3W,https://www.amazon.de/dp/B0001E3W7S,,,,,,,,,,,,,
63,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1YICCYHLM94SE,https://www.amazon.de/dp/B009ODV0OE,,,,,,,,,,,,,,,,
64,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1YSYLHLD47PYM,https://www.amazon.de/dp/B06XKZYYHZ,,,,,,,,,,,,,,,,
65,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1YTUHRDYKP1C4,https://www.amazon.de/dp/B00426KPJO,,,,,,,,,,,,,,,,
66,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A20FPJ7ZUTLVQJ,https://www.amazon.de/dp/B00TTZU566,https://www.amazon.de/dp/B0014GUVAI,https://www.amazon.de/dp/B00IKIEBW2,https://www.amazon.de/dp/B00FAMADXW,https://www.amazon.de/dp/B0046041C8,,,,,,,,,,,,
67,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A20SRNWA1XI1UY,https://www.amazon.de/dp/B073S69SQ1,,,,,,,,,,,,,,,,
68,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A214RZ16XSK44F,https://www.amazon.de/dp/B00IKIEBW2,https://www.amazon.de/dp/B0001E3U16,,,,,,,,,,,,,,,
69,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A21JU8MPISYRBP,https://www.amazon.de/dp/B084SN9HQV,https://www.amazon.de/dp/B00TTZU566,,,,,,,,,,,,,,,
70,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A226233L1LQ09D,https://www.amazon.de/dp/B00TTZU566,,,,,,,,,,,,,,,,
71,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A258W3FN2K0G2E,https://www.amazon.de/dp/B0009W86E6,,,,,,,,,,,,,,,,
72,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A25H5DNB0NB3WA,https://www.amazon.de/dp/B01FE8M0LO,https://www.amazon.de/dp/B01M361H2B,,,,,,,,,,,,,,,
73,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A25O3WD9UL1X44,https://www.amazon.de/dp/B000PTMD9C,,,,,,,,,,,,,,,,
74,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A26LJVRRYI661X,https://www.amazon.de/dp/B000GQ5ADK,,,,,,,,,,,,,,,,
75,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A27JAVUZLL7FFP,https://www.amazon.de/dp/B07CQPKF21,,,,,,,,,,,,,,,,
76,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A27X5RG6B3GRCU,https://www.amazon.de/dp/B004BA7634,https://www.amazon.de/dp/B0002TTRQW,,,,,,,,,,,,,,,
77,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A284WOR3GZDBVS,https://www.amazon.de/dp/B01825GBK2,,,,,,,,,,,,,,,,
78,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A28J0W1UI12XVF,https://www.amazon.de/dp/B001W7GXTW,https://www.amazon.de/dp/B0014GUVAI,https://www.amazon.de/dp/B00141BMJC,https://www.amazon.de/dp/B0001P19PY,https://www.amazon.de/dp/B00KAUIOTE,,,,,,,,,,,,
79,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A292G8BSBWJY7F,https://www.amazon.de/dp/B00L2IMXQS,,,,,,,,,,,,,,,,
80,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A293CXAJFQUXUB,https://www.amazon.de/dp/B07CQPKF21,https://www.amazon.de/dp/B00KAUIOTE,,,,,,,,,,,,,,,
81,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A29IMS28QCY2WB,https://www.amazon.de/dp/B06XKZYYHZ,https://www.amazon.de/dp/B01D0YL7AO,,,,,,,,,,,,,,,
82,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A29WJ1MZEN2ARX,https://www.amazon.de/dp/B01825GBK2,,,,,,,,,,,,,,,,
83,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A2A3ZYNXVICPR9,https://www.amazon.de/dp/B0002TTRQW,,,,,,,,,,,,,,,,
84,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A2A5N3ETHWDZWW,https://www.amazon.de/dp/B00TTZU566,https://www.amazon.de/dp/B003TKSHJY,https://www.amazon.de/dp/B0002YYYFQ,https://www.amazon.de/dp/B0024QQQME,,,,,,,,,,,,,
85,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A2A85I1VRPV7GR,https://www.amazon.de/dp/B000B9RK9O,,,,,,,,,,,,,,,,
86,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A2BXX1U34HXNNT,https://www.amazon.de/dp/B00U8Y8ZAU,,,,,,,,,,,,,,,,
87,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A2CBMOID65DK2F,https://www.amazon.de/dp/B001JAGY3W,,,,,,,,,,,,,,,,
